bizdate,daypower,totalpower
20171103,1428892.52,445919318.1
20171104,1447231.02,447112784.8
20171105,1399750.35,448262681.7
20171106,1444240.82,449446391
20171107,1406043.87,450604250
20171108,1422267.98,451772428.1
20171109,1422004.9,452942145.9
20171110,1457104.23,454134564.2
20171111,1461235.81,455324877.6
20171112,1443840.29,456501252.2
20171113,1488227.74,457714786.3
20171114,1507068.13,458937558.2
20171115,1517389.98,460172587.4
20171116,1535521.92,461415482.8
20171117,1574921.13,462695443
20171118,1610923.94,463998052.5
20171119,1603398.24,465298597.1
20171120,1668578.15,466645364.2
20171121,1618534.04,467948257.9
20171122,1603198.64,469236450.8
20171123,1611750.18,470525377.9
20171124,1637072.32,471831214.8
20171125,1577798.54,473080506.9
20171126,1522578.01,474281634.2
20171127,1618745.82,475568960.5
20171128,1568083.93,476812518.3
20171129,1645960.46,478119283
20171130,1730774.02,479488615.9
20171201,1769314.91,480884004.9
20171202,1669182.01,482191397.4
20171203,1608420.45,483451062.9
20171204,1714078.59,484792685.4
20171205,1751694.03,486158697.9
20171206,1743229.86,487514139
20171207,1740206.77,488874461.6
20171208,1779134.03,490260848
20171209,1712628.72,491588914.3
20171210,1646964.91,492856143.3
20171211,1753133.5,494213056.1
20171212,1801746,495607464
20171213,1850734.4,497034051.7
20171214,1880853.67,498486803.1
20171215,1883603.99,499930003.1
20171216,1856586.26,501346272.3
20171217,1819919.32,502730367.2
20171218,1867947.04,504140985.2
20171219,1859871.53,505542618.5
20171220,1836080.84,506919617.4
20171221,1829849.25,508280638.5
20171222,1797900.61,509618523.3
20171223,1726389.93,510890042.3
20171224,1704558.81,512134178.6
20171225,1873263.57,513510123.9
20171226,1870116.08,514867195
20171227,1887855.44,516237886
20171228,1920582.3,517604667.1
20171229,1922421.74,518966489.3
20171230,1879592.89,520282321.9
20171231,1810273.01,521553842.1
20180101,1849478.81,522834556.7
20180102,1961202.65,524212165.1
20180103,2088804.8,525675128.6
20180104,2088144.75,527147244.9
20180105,2056145.06,528588276
20180106,2020225.11,529999767
20180107,1976523.62,531386244.2
20180108,2082226.01,532839679.8
20180109,2140352.74,534327874.8
20180110,2129017.37,535800518.7
20180111,2157245.04,537296121.9
